name,industry,sector,website
Omnicare,Health Care: Pharmacy and Other Services,Health Care,http://www.omnicare.com
AK Steel Holding,Metals,Materials,http://www.aksteel.com
Fifth Third Bancorp,Commercial Banks,Financials,http://www.53.com
Seaboard,Food Production,"Food, Beverages & Tobacco",http://www.seaboardcorp.com
NiSource,Utilities: Gas and Electric,Energy,http://www.nisource.com
Cablevision Systems,Telecommunications,Telecommunications,http://www.cablevision.com
Anixter International,Wholesalers: Diversified,Wholesalers,http://www.anixter.com
EMCOR Group,"Engineering, Construction",Engineering & Construction,http://www.emcorgroup.com
Fidelity National Information Services,Financial Data Services,Business Services,http://www.fisglobal.com
Barnes & Noble,Specialty Retailers: Other,Retailing,http://www.barnesandnobleinc.com
KBR,"Engineering, Construction",Engineering & Construction,http://www.kbr.com
Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),Financials,http://www.auto-owners.com
Jones Financial,Securities,Financials,http://www.edwardjones.com
Avery Dennison,Chemicals,Chemicals,http://www.averydennison.com
NetApp,Computer Peripherals,Technology,http://www.netapp.com
iHeartMedia,Entertainment,Media,http://www.iheartmedia.com
Discovery Communications,Entertainment,Media,http://www.discoverycommunications.com
Harley-Davidson,Transportation Equipment,Transportation,http://www.harley-davidson.com
Sanmina,Semiconductors and Other Electronic Components,Technology,http://www.sanmina.com
Trinity Industries,Transportation Equipment,Transportation,http://www.trin.net
J.B. Hunt Transport Services,"Trucking, Truck Leasing",Transportation,http://www.jbhunt.com
Charles Schwab,Securities,Financials,http://www.aboutschwab.com
Erie Insurance Group,Insurance: Property and Casualty (Stock),Financials,http://www.erieinsurance.com
Dr Pepper Snapple Group,Beverages,"Food, Beverages & Tobacco",http://www.drpeppersnapplegroup.com
Ameren,Utilities: Gas and Electric,Energy,http://www.ameren.com
Mattel,"Toys, Sporting Goods",Household Products,http://www.mattel.com
Laboratory Corp. of America,Health Care: Pharmacy and Other Services,Health Care,http://www.labcorp.com
TEGNA,"Publishing, Printing",Media,http://www.tegna.com/
Starwood Hotels & Resorts,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure",http://www.starwoodhotels.com
General Cable,"Electronics, Electrical Equip.",Industrials,http://www.generalcable.com
A-Mark Precious Metals,zMiscellaneous,Materials,http://www.amark.com
Graybar Electric,Wholesalers: Diversified,Wholesalers,http://www.graybar.com
Energy Future Holdings,Energy,Energy,http://www.energyfutureholdings.com
HRG Group,Household and Personal Products,Household Products,http://www.hrggroup.com
MRC Global,"Oil and Gas Equipment, Services",Energy,http://www.mrcglobal.com
Spectra Energy,Pipelines,Energy,http://www.spectraenergy.com
Asbury Automotive Group,"Automotive Retailing, Services",Retailing,http://www.asburyauto.com
Packaging Corp. of America,"Packaging, Containers",Materials,http://www.packagingcorp.com
Windstream Holdings,Telecommunications,Telecommunications,http://www.windstream.com
PulteGroup,Homebuilders,Engineering & Construction,http://www.pultegroupinc.com
JetBlue Airways,Airlines,Transportation,http://www.jetblue.com
Newell Rubbermaid,"Home Equipment, Furnishings",Household Products,http://www.newellrubbermaid.com
Con-way,Transportation and Logistics,Transportation,http://www.con-way.com
Calumet Specialty Products Partners,Petroleum Refining,Energy,http://www.calumetspecialty.com
Expedia,Internet Services and Retailing,Technology,http://www.expediainc.com
American Financial Group,Insurance: Property and Casualty (Stock),Financials,http://www.afginc.com
Tractor Supply,Specialty Retailers: Other,Retailing,http://www.tractorsupply.com
United Rentals,Miscellaneous,Business Services,http://www.unitedrentals.com
Ingredion,Food Production,"Food, Beverages & Tobacco",http://www.ingredion.com
Navient,Diversified Financials,Financials,http://www.navient.com
MeadWestvaco,"Packaging, Containers",Materials,http://www.mwv.com
AGL Resources,Utilities: Gas and Electric,Energy,http://www.aglresources.com
St. Jude Medical,Medical Products and Equipment,Health Care,http://www.sjm.com
J.M. Smucker,Food Consumer Products,"Food, Beverages & Tobacco",http://www.jmsmucker.com
Western Union,Financial Data Services,Business Services,http://www.westernunion.com
